model,total_reward_yuan_mean,cvar_5_yuan_mean,battery_throughput_mwh_mean,high_price_discharge_rate_mean,low_price_charge_rate_mean
LE-DRL-SAC + semantic safety layer (w=0.75),-208764.03840539476,-690.025854807538,25.404497737283865,0.2723214285714285,0.1860119047619047
Rule-Based,-208969.91267964878,-704.9959250624936,19.939750692520775,0.17559523809523805,0.11309523809523805
Rolling-Horizon,-210616.6508185768,-731.6155509424996,133.15575,0.4360119047619047,0.9434523809523809
Enhanced Rolling-Horizon,-209988.31330642995,-713.7862545699572,14.800000000000002,0.09523809523809518,0.04166666666666663
SAC-Numeric,-211023.19866451813,-721.2972414036254,3.04,0.0,0.0
SAC-Numeric + numeric safety layer,-209125.34722185496,-703.9530445733672,16.915,0.1934523809523809,0.16666666666666663
LE-DRL w/o Text,-211023.0464733636,-721.2972414036254,3.04,0.0,0.0
LE-DRL-SAC,-209408.8165325671,-680.8458149536096,20.545194364963695,0.4350198412698413,0.21527777777777773
