weight,total_reward_yuan_mean,total_reward_yuan_std,cvar_5_yuan_mean,battery_throughput_mwh_mean,high_price_discharge_rate_mean,low_price_charge_rate_mean
0.0,-210127.8549480425,10480.793251234985,-685.5982155769697,15.465552282879086,0.5282738095238095,0.15079365079365073
0.25,-209595.71474262315,10584.32604341118,-678.9762066673819,19.17807457996621,0.4662698412698412,0.2311507936507936
0.5,-209144.87306726968,10708.351818645104,-683.5146661754305,22.664297310072772,0.3864087301587302,0.19692460317460314
0.75,-208764.03840539473,10862.317063538621,-690.025854807538,25.404497737283865,0.27232142857142855,0.18601190476190477
0.9,-208583.6685841553,10945.01391686728,-693.7716627412615,26.657872373558117,0.24603174603174596,0.18452380952380953
1.0,-208488.36919161305,11031.54302249669,-696.3752469241678,27.25194375,0.24553571428571427,0.18452380952380953
