model,total_reward_yuan_mean,cvar_5_yuan_mean,battery_throughput_mwh_mean,high_price_discharge_rate_mean,low_price_charge_rate_mean
LE-DRL-SAC + semantic safety layer (w=0.9),-208468.94931768783,-696.6651407443475,28.365387497734726,0.2311507936507936,0.1845238095238095
Rule-Based,-208969.91267964878,-704.9959250624936,19.939750692520775,0.17559523809523805,0.11309523809523805
Rolling-Horizon,-210616.6508185768,-731.6155509424996,133.15575,0.4360119047619047,0.9434523809523809
Enhanced Rolling-Horizon,-209988.31330642995,-713.7862545699572,14.800000000000002,0.09523809523809518,0.04166666666666663
Linear-MPC,-210656.00399054107,-714.5537068163362,10.810897656557305,0.0729166666666666,0.10119047619047615
SAC-Numeric,-211023.28359345967,-721.2972414036254,3.04,0.0,0.0
SAC-Numeric + numeric safety layer,-209125.34722185496,-703.9530445733672,16.915,0.1934523809523809,0.16666666666666663
LE-DRL w/o Text,-211023.1946095978,-721.2972414036254,3.04,0.0,0.0
LE-DRL-SAC,-210447.81192141806,-697.1412395249574,14.345641196967202,0.5009920634920635,0.1289682539682539
