source_id,url,raw_html,raw_text,status
nea_power_2024,https://www.nea.gov.cn/20250120/4f7f249bac714e7693adecac996d742f/c.html,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/nea_power_2024.html,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/nea_power_2024.txt,ok
nea_renewable_2024,https://www.nea.gov.cn/20250221/e10f363cabe3458aaf78ba4558970054/c.html,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/nea_renewable_2024.html,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/nea_renewable_2024.txt,ok
renewable_utilization_2024,https://mnewenergy.in-en.com/html/newenergy-2438728.shtml,,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/renewable_utilization_2024.error.txt,failed
guangdong_market_2024,https://www.chujiewang.net/cxw/col151/7300,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/guangdong_market_2024.html,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/guangdong_market_2024.txt,ok
people_guangdong_spot,https://paper.people.com.cn/rmrbhwb/html/2024-01/10/content_26036149.htm,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/people_guangdong_spot.html,/Users/xingchengli/Documents/New project/vpp-ledrl-thesis-system/data/raw_sources/people_guangdong_spot.txt,ok
